Date,Species,Trap,Latitude,Longitude,AddressAccuracy,NumMosquitos,WnvPresent,Week,test_geo,Station,Tmax,Tmin,Tavg,Depart,DewPoint,WetBulb,Heat,Cool,SnowFall,PrecipTotal,StnPressure,SeaLevel,ResultSpeed,ResultDir,AvgSpeed
2007-05-29,2,1,41.95469,-87.800991,9,1,0,22,"(41.95469,-87.800991)",1,88,60,74.0,10.0,58,65.0,0.0,,0,0.0,29.39,30.11,5.8,18,6.5
2007-05-29,3,1,41.95469,-87.800991,9,1,0,22,"(41.95469,-87.800991)",1,88,60,74.0,10.0,58,65.0,0.0,,0,0.0,29.39,30.11,5.8,18,6.5
2007-05-29,3,6,41.994991,-87.769279,9,1,0,22,"(41.994991,-87.769279)",1,88,60,74.0,10.0,58,65.0,0.0,,0,0.0,29.39,30.11,5.8,18,6.5
2007-05-29,2,13,41.974089,-87.824812,8,1,0,22,"(41.974089,-87.824812)",1,88,60,74.0,10.0,58,65.0,0.0,,0,0.0,29.39,30.11,5.8,18,6.5
2007-05-29,3,13,41.974089,-87.824812,8,4,0,22,"(41.974089,-87.824812)",1,88,60,74.0,10.0,58,65.0,0.0,,0,0.0,29.39,30.11,5.8,18,6.5
2007-05-29,2,89,41.999129,-87.795585,8,1,0,22,"(41.999129,-87.795585)",1,88,60,74.0,10.0,58,65.0,0.0,,0,0.0,29.39,30.11,5.8,18,6.5
2007-05-29,2,94,42.01743,-87.687769,8,1,0,22,"(42.01743,-87.687769)",1,88,60,74.0,10.0,58,65.0,0.0,,0,0.0,29.39,30.11,5.8,18,6.5
2007-06-05,2,1,41.95469,-87.800991,9,3,0,23,"(41.95469,-87.800991)",1,64,47,56.0,,48,51.0,9.0,,0,0.42,29.1,29.79,5.2,5,7.6
2007-06-05,3,1,41.95469,-87.800991,9,5,0,23,"(41.95469,-87.800991)",1,64,47,56.0,,48,51.0,9.0,,0,0.42,29.1,29.79,5.2,5,7.6
2007-06-05,1,1,41.95469,-87.800991,9,1,0,23,"(41.95469,-87.800991)",1,64,47,56.0,,48,51.0,9.0,,0,0.42,29.1,29.79,5.2,5,7.6
2007-06-05,2,13,41.974089,-87.824812,8,1,0,23,"(41.974089,-87.824812)",1,64,47,56.0,,48,51.0,9.0,,0,0.42,29.1,29.79,5.2,5,7.6
2007-06-05,3,13,41.974089,-87.824812,8,2,0,23,"(41.974089,-87.824812)",1,64,47,56.0,,48,51.0,9.0,,0,0.42,29.1,29.79,5.2,5,7.6
2007-06-05,2,89,41.999129,-87.795585,8,2,0,23,"(41.999129,-87.795585)",1,64,47,56.0,,48,51.0,9.0,,0,0.42,29.1,29.79,5.2,5,7.6
2007-06-05,3,89,41.999129,-87.795585,8,9,0,23,"(41.999129,-87.795585)",1,64,47,56.0,,48,51.0,9.0,,0,0.42,29.1,29.79,5.2,5,7.6
2007-06-05,3,8,41.981964,-87.812827,8,2,0,23,"(41.981964,-87.812827)",1,64,47,56.0,,48,51.0,9.0,,0,0.42,29.1,29.79,5.2,5,7.6
2007-06-05,3,9,41.944869,-87.832763,8,1,0,23,"(41.944869,-87.832763)",1,64,47,56.0,,48,51.0,9.0,,0,0.42,29.1,29.79,5.2,5,7.6
2007-06-05,3,14,42.011601,-87.811506,8,1,0,23,"(42.011601,-87.811506)",1,64,47,56.0,,48,51.0,9.0,,0,0.42,29.1,29.79,5.2,5,7.6
2007-06-05,3,18,41.979243,-87.750938,9,1,0,23,"(41.979243,-87.750938)",1,64,47,56.0,,48,51.0,9.0,,0,0.42,29.1,29.79,5.2,5,7.6
2007-06-05,3,20,41.986921,-87.689778,9,2,0,23,"(41.986921,-87.689778)",1,64,47,56.0,,48,51.0,9.0,,0,0.42,29.1,29.79,5.2,5,7.6
2007-06-05,2,87,41.961743,-87.76007,9,1,0,23,"(41.961743,-87.76007)",1,64,47,56.0,,48,51.0,9.0,,0,0.42,29.1,29.79,5.2,5,7.6
2007-06-05,3,87,41.961743,-87.76007,9,2,0,23,"(41.961743,-87.76007)",1,64,47,56.0,,48,51.0,9.0,,0,0.42,29.1,29.79,5.2,5,7.6
2007-06-05,2,88,41.953067,-87.776792,8,1,0,23,"(41.953067,-87.776792)",1,64,47,56.0,,48,51.0,9.0,,0,0.42,29.1,29.79,5.2,5,7.6
2007-06-05,3,88,41.953067,-87.776792,8,3,0,23,"(41.953067,-87.776792)",1,64,47,56.0,,48,51.0,9.0,,0,0.42,29.1,29.79,5.2,5,7.6
2007-06-05,2,95,41.994469,-87.667736,8,1,0,23,"(41.994469,-87.667736)",1,64,47,56.0,,48,51.0,9.0,,0,0.42,29.1,29.79,5.2,5,7.6
2007-06-05,3,96,42.006858,-87.675919,9,2,0,23,"(42.006858,-87.675919)",1,64,47,56.0,,48,51.0,9.0,,0,0.42,29.1,29.79,5.2,5,7.6
2007-06-05,2,97,41.916265,-87.800515,8,1,0,23,"(41.916265,-87.800515)",1,64,47,56.0,,48,51.0,9.0,,0,0.42,29.1,29.79,5.2,5,7.6
2007-06-05,3,97,41.916265,-87.800515,8,10,0,23,"(41.916265,-87.800515)",1,64,47,56.0,,48,51.0,9.0,,0,0.42,29.1,29.79,5.2,5,7.6
2007-06-05,2,114,41.948167,-87.730698,8,2,0,23,"(41.948167,-87.730698)",1,64,47,56.0,,48,51.0,9.0,,0,0.42,29.1,29.79,5.2,5,7.6
2007-06-05,3,114,41.948167,-87.730698,8,1,0,23,"(41.948167,-87.730698)",1,64,47,56.0,,48,51.0,9.0,,0,0.42,29.1,29.79,5.2,5,7.6
2007-06-26,2,1,41.95469,-87.800991,9,1,0,26,"(41.95469,-87.800991)",1,92,70,81.0,10.0,69,72.0,0.0,16.0,0,0.16,29.39,30.11,6.1,22,7.1
2007-06-26,3,1,41.95469,-87.800991,9,4,0,26,"(41.95469,-87.800991)",1,92,70,81.0,10.0,69,72.0,0.0,16.0,0,0.16,29.39,30.11,6.1,22,7.1
2007-06-26,4,1,41.95469,-87.800991,9,1,0,26,"(41.95469,-87.800991)",1,92,70,81.0,10.0,69,72.0,0.0,16.0,0,0.16,29.39,30.11,6.1,22,7.1
2007-06-26,2,6,41.994991,-87.769279,9,1,0,26,"(41.994991,-87.769279)",1,92,70,81.0,10.0,69,72.0,0.0,16.0,0,0.16,29.39,30.11,6.1,22,7.1
2007-06-26,3,6,41.994991,-87.769279,9,4,0,26,"(41.994991,-87.769279)",1,92,70,81.0,10.0,69,72.0,0.0,16.0,0,0.16,29.39,30.11,6.1,22,7.1
2007-06-26,3,13,41.974089,-87.824812,8,1,0,26,"(41.974089,-87.824812)",1,92,70,81.0,10.0,69,72.0,0.0,16.0,0,0.16,29.39,30.11,6.1,22,7.1
2007-06-26,2,89,41.999129,-87.795585,8,1,0,26,"(41.999129,-87.795585)",1,92,70,81.0,10.0,69,72.0,0.0,16.0,0,0.16,29.39,30.11,6.1,22,7.1
2007-06-26,3,89,41.999129,-87.795585,8,1,0,26,"(41.999129,-87.795585)",1,92,70,81.0,10.0,69,72.0,0.0,16.0,0,0.16,29.39,30.11,6.1,22,7.1
2007-06-26,2,94,42.01743,-87.687769,8,2,0,26,"(42.01743,-87.687769)",1,92,70,81.0,10.0,69,72.0,0.0,16.0,0,0.16,29.39,30.11,6.1,22,7.1
2007-06-26,3,94,42.01743,-87.687769,8,2,0,26,"(42.01743,-87.687769)",1,92,70,81.0,10.0,69,72.0,0.0,16.0,0,0.16,29.39,30.11,6.1,22,7.1
2007-06-26,2,9,41.944869,-87.832763,8,2,0,26,"(41.944869,-87.832763)",1,92,70,81.0,10.0,69,72.0,0.0,16.0,0,0.16,29.39,30.11,6.1,22,7.1
