Species,Trap,Latitude,Longitude,AddressAccuracy,NumMosquitos,WnvPresent,Week,Month,Day,Tmax_x,Tmin_x,Tavg_x,Depart_x,DewPoint_x,WetBulb_x,Heat_x,Cool_x,PrecipTotal_x,StnPressure_x,SeaLevel_x,ResultSpeed_x,ResultDir_x,AvgSpeed_x,Tmax_y,Tmin_y,Tavg_y,DewPoint_y,WetBulb_y,Heat_y,Cool_y,PrecipTotal_y,StnPressure_y,SeaLevel_y,ResultSpeed_y,ResultDir_y,AvgSpeed_y
2,1,41.95469,-87.800991,9,1,0,22,5,29,88,60,74,10,58,65,0, 9,0.00,29.39,30.11,5.8,18,6.5,88,65,77,59,66,0,12,0.00,29.44,30.09,5.8,16,7.4
3,1,41.95469,-87.800991,9,1,0,22,5,29,88,60,74,10,58,65,0, 9,0.00,29.39,30.11,5.8,18,6.5,88,65,77,59,66,0,12,0.00,29.44,30.09,5.8,16,7.4
3,6,41.994991,-87.769279,9,1,0,22,5,29,88,60,74,10,58,65,0, 9,0.00,29.39,30.11,5.8,18,6.5,88,65,77,59,66,0,12,0.00,29.44,30.09,5.8,16,7.4
2,13,41.974089,-87.824812,8,1,0,22,5,29,88,60,74,10,58,65,0, 9,0.00,29.39,30.11,5.8,18,6.5,88,65,77,59,66,0,12,0.00,29.44,30.09,5.8,16,7.4
3,13,41.974089,-87.824812,8,4,0,22,5,29,88,60,74,10,58,65,0, 9,0.00,29.39,30.11,5.8,18,6.5,88,65,77,59,66,0,12,0.00,29.44,30.09,5.8,16,7.4
3,32,41.9216,-87.666455,8,2,0,22,5,29,88,60,74,10,58,65,0, 9,0.00,29.39,30.11,5.8,18,6.5,88,65,77,59,66,0,12,0.00,29.44,30.09,5.8,16,7.4
3,33,41.891118,-87.654491,8,1,0,22,5,29,88,60,74,10,58,65,0, 9,0.00,29.39,30.11,5.8,18,6.5,88,65,77,59,66,0,12,0.00,29.44,30.09,5.8,16,7.4
2,35,41.867108,-87.654224,8,1,0,22,5,29,88,60,74,10,58,65,0, 9,0.00,29.39,30.11,5.8,18,6.5,88,65,77,59,66,0,12,0.00,29.44,30.09,5.8,16,7.4
3,35,41.867108,-87.654224,8,2,0,22,5,29,88,60,74,10,58,65,0, 9,0.00,29.39,30.11,5.8,18,6.5,88,65,77,59,66,0,12,0.00,29.44,30.09,5.8,16,7.4
3,36,41.896282,-87.655232,8,1,0,22,5,29,88,60,74,10,58,65,0, 9,0.00,29.39,30.11,5.8,18,6.5,88,65,77,59,66,0,12,0.00,29.44,30.09,5.8,16,7.4
2,37,41.919343,-87.694259,8,1,0,22,5,29,88,60,74,10,58,65,0, 9,0.00,29.39,30.11,5.8,18,6.5,88,65,77,59,66,0,12,0.00,29.44,30.09,5.8,16,7.4
2,39,41.921965,-87.632085,8,2,0,22,5,29,88,60,74,10,58,65,0, 9,0.00,29.39,30.11,5.8,18,6.5,88,65,77,59,66,0,12,0.00,29.44,30.09,5.8,16,7.4
3,39,41.921965,-87.632085,8,3,0,22,5,29,88,60,74,10,58,65,0, 9,0.00,29.39,30.11,5.8,18,6.5,88,65,77,59,66,0,12,0.00,29.44,30.09,5.8,16,7.4
2,65,41.688324,-87.676709,8,1,0,22,5,29,88,60,74,10,58,65,0, 9,0.00,29.39,30.11,5.8,18,6.5,88,65,77,59,66,0,12,0.00,29.44,30.09,5.8,16,7.4
3,65,41.688324,-87.676709,8,1,0,22,5,29,88,60,74,10,58,65,0, 9,0.00,29.39,30.11,5.8,18,6.5,88,65,77,59,66,0,12,0.00,29.44,30.09,5.8,16,7.4
3,69,41.862292,-87.64886,8,1,0,22,5,29,88,60,74,10,58,65,0, 9,0.00,29.39,30.11,5.8,18,6.5,88,65,77,59,66,0,12,0.00,29.44,30.09,5.8,16,7.4
3,71,41.720848,-87.666014,9,3,0,22,5,29,88,60,74,10,58,65,0, 9,0.00,29.39,30.11,5.8,18,6.5,88,65,77,59,66,0,12,0.00,29.44,30.09,5.8,16,7.4
3,74,41.731922,-87.677512,8,5,0,22,5,29,88,60,74,10,58,65,0, 9,0.00,29.39,30.11,5.8,18,6.5,88,65,77,59,66,0,12,0.00,29.44,30.09,5.8,16,7.4
1,74,41.731922,-87.677512,8,1,0,22,5,29,88,60,74,10,58,65,0, 9,0.00,29.39,30.11,5.8,18,6.5,88,65,77,59,66,0,12,0.00,29.44,30.09,5.8,16,7.4
2,84,41.891126,-87.61156,5,1,0,22,5,29,88,60,74,10,58,65,0, 9,0.00,29.39,30.11,5.8,18,6.5,88,65,77,59,66,0,12,0.00,29.44,30.09,5.8,16,7.4
3,84,41.891126,-87.61156,5,2,0,22,5,29,88,60,74,10,58,65,0, 9,0.00,29.39,30.11,5.8,18,6.5,88,65,77,59,66,0,12,0.00,29.44,30.09,5.8,16,7.4
2,89,41.999129,-87.795585,8,1,0,22,5,29,88,60,74,10,58,65,0, 9,0.00,29.39,30.11,5.8,18,6.5,88,65,77,59,66,0,12,0.00,29.44,30.09,5.8,16,7.4
2,94,42.01743,-87.687769,8,1,0,22,5,29,88,60,74,10,58,65,0, 9,0.00,29.39,30.11,5.8,18,6.5,88,65,77,59,66,0,12,0.00,29.44,30.09,5.8,16,7.4
3,99,41.907645,-87.760886,8,1,0,22,5,29,88,60,74,10,58,65,0, 9,0.00,29.39,30.11,5.8,18,6.5,88,65,77,59,66,0,12,0.00,29.44,30.09,5.8,16,7.4
3,105,41.732984,-87.649642,8,1,0,22,5,29,88,60,74,10,58,65,0, 9,0.00,29.39,30.11,5.8,18,6.5,88,65,77,59,66,0,12,0.00,29.44,30.09,5.8,16,7.4
2,1,41.95469,-87.800991,9,3,0,23,6,5,64,47,56,-9,48,51,9, 0,0.42,29.10,29.79,5.2,5,7.6,63,51,57,47,52,8, 0,0.27,29.16,29.78,6.2,3,8.1
